"id","experience_id","location","price","start_location_parameter"
1,1,Stisses,250,Stisses 1
7,4,Ugglarp,990,Ugglarp 4
2,2,Stisses,300,Stisses 2
3,3,Gåsahalsen,590,Gåsahalsen 3
4,3,Höja,613,Höja 3
5,3,Ugglarp,738,Ugglarp 3
8,4,Klippan,990,Klippan 4:1
6,4,Tranarpsbron,990,Tranarpsbron 4
10,5,Stisses,950,Stisses 5
11,6,Stisses,950,Stisses 6
12,7,Stisses,290,Stisses 7
13,7,Gåsahalsen,490,Gåsahalsen 7
14,7,Höja,490,Höja 7
15,8,Stisses,160,Stisses 8
16,8,Höja,240,Höja 8
17,8,Ugglarp,290,Ugglarp 8
9,4,Klippan (2 övernattningar),1190,Klippan 4:2
